company,type,address,gu,dong
골드마인,폐수배출업소관리,서울특별시 종로구 묘동 1번지 ,종로구,묘동
(주)한국금거래소쓰리엠,폐수배출업소관리,서울특별시 종로구 돈의동 137번지 ,종로구,돈의동
골드스미스,폐수배출업소관리,서울특별시 종로구 봉익동 9-8번지 ,종로구,봉익동
새롬 수리방,폐수배출업소관리,서울특별시 종로구 봉익동 118-1번지 ,종로구,봉익동
혜화카프라자,폐수배출업소관리,서울특별시 종로구 명륜1가 32-2번지 ,종로구,명륜1가
한국섬유,폐수배출업소관리,서울특별시 종로구 종로5가 460-1번지 ,종로구,종로5가
반도염색,폐수배출업소관리,서울특별시 종로구 종로6가 97번지 ,종로구,종로6가
종로염색,폐수배출업소관리,서울특별시 종로구 효제동 197-1번지 ,종로구,효제동
우리염색,폐수배출업소관리,서울특별시 종로구 충신동 188-8번지 ,종로구,충신동
선경섬유,폐수배출업소관리,서울특별시 종로구 종로5가 460-2번지 ,종로구,종로5가
진흥염색,폐수배출업소관리,서울특별시 종로구 종로5가 465번지 ,종로구,종로5가
월드염색,폐수배출업소관리,서울특별시 종로구 종로6가 239-29번지 ,종로구,종로6가
(주)두양,폐수배출업소관리,서울특별시 종로구 종로6가 240-3번지 ,종로구,종로6가
장안기업,폐수배출업소관리,서울특별시 종로구 돈의동 1번지 ,종로구,돈의동
지엔에스,폐수배출업소관리,서울특별시 종로구 돈의동 50번지 ,종로구,돈의동
골드존,폐수배출업소관리,서울특별시 종로구 돈의동 50번지 ,종로구,돈의동
동광기업,폐수배출업소관리,서울특별시 종로구 익선동 166-29번지 ,종로구,익선동
엠.제이주얼리,폐수배출업소관리,서울특별시 종로구 연지동 184번지 ,종로구,연지동
유진염색,폐수배출업소관리,서울특별시 종로구 종로5가 248-2번지 ,종로구,종로5가
인디안염색사,폐수배출업소관리,서울특별시 종로구 종로5가 446번지 ,종로구,종로5가
성신염색,폐수배출업소관리,서울특별시 종로구 종로5가 456-2번지 1층 ,종로구,종로5가
아트섬유,폐수배출업소관리,서울특별시 종로구 종로5가 459번지 1층 ,종로구,종로5가
새하얀,폐수배출업소관리,서울특별시 종로구 봉익동 11-14번지 ,종로구,봉익동
코디도금,폐수배출업소관리,서울특별시 종로구 봉익동 82번지 ,종로구,봉익동
삼화도금,폐수배출업소관리,서울특별시 종로구 봉익동 100번지 ,종로구,봉익동
비가Ⅱ,폐수배출업소관리,서울특별시 종로구 봉익동 109번지 성보빌딩 202호 ,종로구,봉익동
샤인,폐수배출업소관리,서울특별시 종로구 봉익동 163번지 대광빌딩304 ,종로구,봉익동
만금사,폐수배출업소관리,서울특별시 종로구 봉익동 96-2번지 2층 ,종로구,봉익동
골드파트너,폐수배출업소관리,서울특별시 종로구 봉익동 38-9번지 ,종로구,봉익동
명성멕기,폐수배출업소관리,서울특별시 종로구 봉익동 38-19번지 ,종로구,봉익동
종로도금,폐수배출업소관리,서울특별시 종로구 봉익동 154번지 ,종로구,봉익동
이화사,폐수배출업소관리,서울특별시 종로구 봉익동 162번지 태일빌딩 2층 ,종로구,봉익동
금성멕기,폐수배출업소관리,서울특별시 종로구 봉익동 96-2번지 ,종로구,봉익동
반도염색,폐수배출업소관리,서울특별시 종로구 종로6가 97번지 ,종로구,종로6가
유진염색,폐수배출업소관리,서울특별시 종로구 종로5가 248-2번지 ,종로구,종로5가
태평양염색,폐수배출업소관리,서울특별시 종로구 종로5가 444-3번지 1층 ,종로구,종로5가
골든벨,폐수배출업소관리,서울특별시 종로구 묘동 38번지 2층 ,종로구,묘동
세화사,폐수배출업소관리,서울특별시 종로구 봉익동 141-1번지 ,종로구,봉익동
대성도금,폐수배출업소관리,서울특별시 종로구 봉익동 153번지 ,종로구,봉익동
깨끗한도금,폐수배출업소관리,서울특별시 종로구 봉익동 14번지 ,종로구,봉익동
금미사,폐수배출업소관리,서울특별시 종로구 봉익동 141-1번지 ,종로구,봉익동
수현도금,폐수배출업소관리,서울특별시 종로구 봉익동 117-2번지 영동빌딩 213호,종로구,봉익동
한양도금,폐수배출업소관리,서울특별시 종로구 봉익동 116번지 ,종로구,봉익동
두리멕기,폐수배출업소관리,서울특별시 종로구 봉익동 116번지 종로빌딩 202호 ,종로구,봉익동
나라도금,폐수배출업소관리,서울특별시 종로구 봉익동 117-2번지 영동빌딩 308 ,종로구,봉익동
(주)티케쥬얼리,폐수배출업소관리,서울특별시 종로구 연지동 125번지 ,종로구,연지동
인디안염색사,폐수배출업소관리,서울특별시 종로구 종로5가 446번지 ,종로구,종로5가
유진염색,폐수배출업소관리,서울특별시 종로구 종로5가 248-2번지 ,종로구,종로5가
태성도금,폐수배출업소관리,서울특별시 종로구 권농동 188-2번지 ,종로구,권농동
더원,폐수배출업소관리,서울특별시 종로구 연지동 59번지 3층 ,종로구,연지동
